iter	Passed	Remaining
0	2	198
1	3	187
2	5	184
3	7	174
4	9	188
5	11	187
6	13	183
7	15	180
8	17	176
9	19	174
10	21	173
11	24	177
12	26	174
13	27	171
14	29	169
15	31	165
16	33	165
17	36	164
18	38	162
19	40	163
20	43	161
21	44	158
22	46	156
23	48	154
24	50	151
25	52	148
26	53	145
27	55	142
28	57	139
29	58	136
30	59	132
31	60	128
32	62	126
33	63	123
34	64	120
35	65	117
36	67	114
37	68	110
38	68	107
39	70	105
40	70	102
41	71	98
42	72	95
43	72	92
44	73	90
45	74	87
46	75	85
47	76	82
48	77	80
49	78	78
50	78	75
51	79	73
52	80	71
53	81	69
54	82	67
55	82	65
56	83	63
57	84	61
58	85	59
59	86	57
60	87	55
61	88	54
62	89	52
63	90	50
64	91	49
65	92	47
66	93	45
67	93	44
68	94	42
69	95	40
70	96	39
71	97	37
72	97	36
73	98	34
74	99	33
75	100	31
76	101	30
77	102	28
78	102	27
79	103	25
80	104	24
81	105	23
82	106	21
83	106	20
84	108	19
85	109	17
86	110	16
87	110	15
88	111	13
89	112	12
90	113	11
91	114	9
92	115	8
93	116	7
94	117	6
95	118	4
96	119	3
97	120	2
98	120	1
99	121	0
